household_size,children_in_household,household_type,district,quarter,value
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2005Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2005Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2005Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2005Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2006Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2006Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2006Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2006Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2007Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2007Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2007Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2007Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2008Q1,0.0
